Project,Version,S-WordCount,S-LineCount,S-Density,S-ParaCount,S-FunCalls,S-VarCount,S-RepWords,S-ComPer,S-MaxDepth,S-BlockCount,S-CycCom,D-AvgD,D-AvgInD,D-AvgOutD,D-FaultyD,D-FaultyInD,D-FaultyOutD,D-DiDiameter,D-UndiDiameter,D-Avg-Closeness,D-AvgInCloseness,D-AvgOutCloseness,D-FaultyCloseness,D-WeiEdgeSum,D-#AboveAvgD,D-#AboveAvgInD,D-#AboveAvgOutD,D-#DiCircles,D-#WeakGroups,T-#T,T-#PT,T-#FT,T-%PT,T-%FT,T-#E,T-#VE,T-#NVE,T-#V,T-Spa,T-Cov,T-CovPT,T-CovFT,T-AvgVE,T-AvgVEPT,T-AvgVEFT,T-#VEP^FT,T-%VEP^FT,B-RepairActions,B-RepairPatterns,B-RepairTools,B-Files,B-Methods,B-Classes,B-LinesAdd,B-LinesRem,B-LinesMod,B-SizeInLines,B-Chunks,B-SpreadAllLines,B-SpreadCodeOnly,L-Rank,L-10,L-5-10,L-5,L-1,L-Inverse,L-3,L-4
Chart,1,26.0253824914134,6.89165148870374,3.78729970910788,1.23410824520439,2.98583802617608,1.25062852802113,3.57466547855165,0.608760710901006,1.49312010862271,2.31570409410804,2.94503228348343,2.9318,1.4659,1.4659,4,1,3,7,12,0.2174,0.0123,0.0154,0.2522,1.4659,35,20,23,0,1,427,426,1,0.9977,0.0023,1246,842,404,39256,0.0738,0.6758,0.6758,0.0803,91.9344,91.9155,100,100,0.1188,1,2,7,1,1,1,0,0,1,1,1,0,0,8,1,2,2,2,0.125,2,2
Chart,2,26.0251192329689,6.88989131592926,3.78786879708005,1.23410971233968,2.98416715497326,1.249810278487,3.5730703663458,0.608903565683371,1.49314026254395,2.31512503388698,2.94441652171379,2.4364,1.2182,1.2182,5,1,4,6,12,0.1959,0.0199,0.0213,0.2596,1.2182,24,9,19,0,1,350,348,2,0.9943,0.0057,206,128,78,5557,0.0771,0.6214,0.4903,0.2573,15.8771,15.7213,43,26,0.2031,4,2,0,1,2,1,14,0,0,14,8,493,318,6,1,2,2,2,0.166666666666667,2,2
Chart,3,26.0266063426818,6.89061049633889,3.78784191478369,1.23416322420721,2.98388066066707,1.25004076251205,3.57384691243192,0.608854720131718,1.49313514401749,2.31547349457784,2.94617235525903,2.2162,1.1081,1.1081,4,1,3,6,10,0.247,0.0306,0.0388,0.3214,1.1081,10,5,10,0,1,50,49,1,0.98,0.02,183,120,63,1887,0.2062,0.6557,0.6557,0.2077,37.74,37.7347,38,38,0.3167,1,0,6,1,1,1,2,0,0,2,1,0,0,1,1,1,1,1,1,1,1
Chart,5,25.6932613564829,6.83716629951618,3.80090471011914,1.25621157871922,2.9921780646347,1.24296626792801,3.56410662210153,0.614441619235122,1.49327387397527,2.2979372249718,2.85211665753731,2,1,1,5,1,4,5,8,0.3133,0.0881,0.1074,0.4643,1,3,1,4,0,1,127,126,1,0.9921,0.0079,69,49,20,2220,0.2533,0.7101,0.7101,0.1884,17.4803,17.5159,13,13,0.2653,4,2,7,1,1,1,4,0,1,5,2,4,2,2,1,1,1,2,0.5,1,1
Chart,6,25.5832596043546,6.80708562861982,3.81935320135768,1.2507545112642,2.98795704952875,1.24363512238165,3.55468852518035,0.61218706620382,1.48958002040793,2.28534559064299,2.84365139752338,2.6667,1.3333,1.3333,3,2,1,4,7,0.3403,0.0472,0.0584,0.3966,1.3333,12,6,7,0,1,480,477,3,0.9938,0.0063,75,45,30,5218,0.1449,0.6,0.5867,0.28,10.8708,10.8281,17.6667,20,0.4444,8,1,1,1,1,1,7,0,1,8,1,0,0,7,1,2,2,2,0.142857142857143,2,2
Chart,7,25.61014295222,6.81366955004918,3.81850874056472,1.25026484043286,2.99014966295675,1.24717609040088,3.55638768020571,0.611953422041886,1.49046840595286,2.28579651207686,2.84808073114934,2,1,1,5,1,4,4,8,0.2823,0.0608,0.0765,0.3273,1,5,1,5,0,1,16,15,1,0.9375,0.0625,117,73,44,450,0.2404,0.6239,0.6239,0.2393,28.125,28.1333,28,28,0.3836,3,3,4,1,1,1,0,0,2,2,2,1,1,5,1,1,1,2,0.2,2,2
Chart,8,25.6127601848372,6.8144491758288,3.81851694931963,1.25043809060611,2.989860912668,1.2472627154875,3.55682080563883,0.611938487013878,1.49055503103949,2.28599863727898,2.84758985565847,1.75,0.875,0.875,2,1,1,4,5,0.4191,0.1692,0.1935,0.5,0.875,4,7,4,0,1,24,23,1,0.9583,0.0417,35,19,16,151,0.1798,0.5429,0.5429,0.2286,6.2917,6.2174,8,8,0.4211,2,2,2,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
Chart,9,25.6213116933887,6.81741917879881,3.81845996493134,1.25083409100211,2.990916913724,1.2478567160815,3.55802755684559,0.611896314250522,1.49088503136949,2.28692263820299,2.84940935747797,2.4762,1.2381,1.2381,4,1,3,5,10,0.2113,0.0264,0.0328,0.3037,1.2381,18,9,16,0,1,33,32,1,0.9697,0.0303,219,121,98,1215,0.1681,0.5525,0.5525,0.2329,36.8182,36.375,51,51,0.4215,1,2,6,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
Chart,11,25.6110957262524,6.81625453516593,3.818518466558,1.25392743983048,2.98846867473008,1.24808499126441,3.55892080365535,0.61220141124829,1.49087685622519,2.28692892677552,2.85528258828981,1,0.5,0.5,1,1,0,1,1,1,0.75,0.75,1,0.5,0,1,1,0,1,265,263,2,0.9925,0.0075,21,11,10,565,0.1015,0.5238,0.5238,0.0476,2.1321,2.1407,1,1,0.0909,2,2,2,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
Chart,12,25.6111947263514,6.81625453516592,3.81852608193271,1.25392743983048,2.98819642445783,1.24808499126441,3.55901980375435,0.612202096095681,1.49087685622519,2.28692892677552,2.85528258828981,2.4516,1.2258,1.2258,10,2,8,8,11,0.2326,0.0176,0.0236,0.3631,1.2258,20,12,16,0,1,198,197,1,0.9949,0.0051,773,444,329,12854,0.084,0.5744,0.5731,0.0789,64.9192,64.9391,61,60,0.1351,3,3,3,1,1,1,0,0,1,1,1,0,0,3,1,1,1,2,0.333333333333333,1,1
Chart,13,25.6327842217966,6.82104469871249,3.81966601887917,1.25580801498692,2.99106438895833,1.25023304516436,3.5586966605853,0.612192360694786,1.49077221481218,2.28691558335029,2.85646912502629,3.037,1.5185,1.5185,9,1,8,6,7,0.2837,0.0204,0.0271,0.363,1.5185,16,19,17,1,1,138,137,1,0.9928,0.0072,169,112,57,5119,0.2195,0.6627,0.645,0.3432,37.0942,36.9416,58,55,0.4911,6,3,7,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1
