File,Method,From,To
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/ProperBigFractionFormat.java,format(BigFraction|StringBuffer|FieldPosition),90,112
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/ProperBigFractionFormat.java,getWholeFormat(),118,120
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/ProperBigFractionFormat.java,parse(String|ParsePosition),135,226
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/ProperBigFractionFormat.java,setWholeFormat(NumberFormat),233,238
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/BigFractionFormat.java,getAvailableLocales(),78,80
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/BigFractionFormat.java,formatBigFraction(BigFraction),89,91
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/BigFractionFormat.java,getImproperInstance(),97,99
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/BigFractionFormat.java,getImproperInstance(Locale),106,108
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/BigFractionFormat.java,getProperInstance(),114,116
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/BigFractionFormat.java,getProperInstance(Locale),123,125
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/BigFractionFormat.java,format(BigFraction|StringBuffer|FieldPosition),138,148
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/BigFractionFormat.java,format(Object|StringBuffer|FieldPosition),166,181
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/BigFractionFormat.java,parse(String),191,198
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/BigFractionFormat.java,parse(String|ParsePosition),208,258
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/BigFractionFormat.java,parseNextBigInteger(String|ParsePosition),268,286
src/main/resources/Math/1/src/main/java/org/apache/commons/math3/fraction/FractionField.java,getInstance(),47,49
