File,Line,Rank,Suspiciousness
org.apache.commons.math.stat.correlation.PearsonsCorrelation,68,1,inf
org.apache.commons.math.util.ContinuedFraction,46,2,0.8000
org.apache.commons.math.special.Gamma,97,2,0.8000
org.apache.commons.math.distribution.TDistributionImpl,128,2,0.8000
org.apache.commons.math.stat.correlation.PearsonsCorrelation,161,2,0.8000
org.apache.commons.math.special.Beta$1,148,2,0.8000
org.apache.commons.math.special.Beta$1,134,2,0.8000
org.apache.commons.math.special.Beta$1,128,2,0.8000
org.apache.commons.math.special.Beta,192,2,0.8000
org.apache.commons.math.special.Beta,121,2,0.8000
org.apache.commons.math.util.ContinuedFraction,128,2,0.8000
org.apache.commons.math.special.Beta,54,2,0.8000
org.apache.commons.math.linear.BlockRealMatrix,1238,3,0.5714
org.apache.commons.math.stat.correlation.PearsonsCorrelation,187,4,0.4444
org.apache.commons.math.linear.BlockRealMatrix,1255,4,0.4444
org.apache.commons.math.linear.BlockRealMatrix,267,5,0.4000
org.apache.commons.math.linear.BlockRealMatrix,98,5,0.4000
org.apache.commons.math.linear.MatrixUtils,544,5,0.4000
org.apache.commons.math.linear.BlockRealMatrix,1185,5,0.4000
org.apache.commons.math.stat.regression.SimpleRegression,351,6,0.3636
org.apache.commons.math.stat.regression.SimpleRegression,455,6,0.3636
org.apache.commons.math.stat.regression.SimpleRegression,337,6,0.3636
org.apache.commons.math.stat.correlation.PearsonsCorrelation,77,6,0.3636
org.apache.commons.math.linear.BlockRealMatrix,1684,6,0.3636
org.apache.commons.math.linear.AbstractRealMatrix,55,6,0.3636
org.apache.commons.math.stat.correlation.PearsonsCorrelation,273,6,0.3636
org.apache.commons.math.stat.regression.SimpleRegression,298,6,0.3636
org.apache.commons.math.distribution.TDistributionImpl,81,6,0.3636
org.apache.commons.math.stat.regression.SimpleRegression,122,6,0.3636
org.apache.commons.math.linear.BlockRealMatrix,126,6,0.3636
org.apache.commons.math.linear.BlockRealMatrix,148,6,0.3636
org.apache.commons.math.linear.BlockRealMatrix,206,6,0.3636
org.apache.commons.math.linear.BlockRealMatrix,1351,6,0.3636
org.apache.commons.math.linear.BlockRealMatrix,1345,6,0.3636
org.apache.commons.math.stat.regression.SimpleRegression,432,6,0.3636
org.apache.commons.math.linear.BlockRealMatrix,1675,6,0.3636
org.apache.commons.math.stat.correlation.PearsonsCorrelation,225,7,0.3333
org.apache.commons.math.stat.regression.SimpleRegression,104,7,0.3333
org.apache.commons.math.distribution.TDistributionImpl,61,7,0.3333
org.apache.commons.math.distribution.TDistributionImpl,88,7,0.3333
org.apache.commons.math.distribution.AbstractDistribution,39,7,0.3333
org.apache.commons.math.stat.regression.SimpleRegression,614,7,0.3333
org.apache.commons.math.stat.regression.SimpleRegression,94,7,0.3333
org.apache.commons.math.distribution.TDistributionImpl,71,7,0.3333
org.apache.commons.math.distribution.AbstractContinuousDistribution,53,7,0.3333
org.apache.commons.math.linear.AbstractFieldMatrix,291,8,0.0000
org.apache.commons.math.linear.AbstractFieldMatrix,876,8,0.0000
org.apache.commons.math.linear.AbstractFieldMatrix,273,8,0.0000
org.apache.commons.math.linear.AbstractFieldMatrix,267,8,0.0000
