File,Method,From,To
src/main/resources/Time/1/src/example/org/joda/example/time/Examples.java,main(String[]),30,36
src/main/resources/Time/1/src/example/org/joda/example/time/Examples.java,run(),38,43
src/main/resources/Time/1/src/example/org/joda/example/time/Examples.java,runInstant(),45,70
src/main/resources/Time/1/src/example/org/joda/example/time/Examples.java,runDateTime(),72,113
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,main(String[]),67,69
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,fixedSize(JComponent),71,74
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,fixedHeight(JComponent),76,81
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,actionPerformed(ActionEvent),106,108
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,addMainArea(Container),115,127
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,insertUpdate(DocumentEvent),139,141
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,removeUpdate(DocumentEvent),142,144
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,changedUpdate(DocumentEvent),145,147
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,update(DocumentEvent),148,151
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,actionPerformed(ActionEvent),163,167
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,addTopArea(Container),129,171
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,itemStateChanged(ItemEvent),178,180
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,addBottomArea(Container),173,212
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,updateResults(),214,230
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,updateResult(long|long),245,290
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,setResultText(String),292,294
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,updateResults(long|long),306,311
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,setResultsText(String),313,317
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,addTo(Container),319,335
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,setCheckboxConstraints(GridBagLayout|Component|int|int),339,346
src/main/resources/Time/1/src/example/org/joda/example/time/AgeCalculator.java,setResultConstraints(GridBagLayout|Component|int|int),350,358
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,main(String[]),64,71
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJodaConstructor1(),165,177
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJISOConstructor1(),179,191
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkGCalConstructor1(),193,205
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkDateConstructor1(),207,219
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJodaConstructor2(),224,235
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJISOConstructor2(),237,248
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkGCalConstructor2(),250,262
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkDateConstructor2(),264,275
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJodaConstructor3(),280,293
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJISOConstructor3(),295,306
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkGCalConstructor3(),308,319
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkDateConstructor3(),321,332
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJodaGetYear(),337,348
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJISOGetYear(),350,361
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkGCalGetYear(),363,374
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkDateGetYear(),376,387
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJodaGetMonth(),392,403
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJISOGetMonth(),405,416
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkGCalGetMonth(),418,429
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkDateGetMonth(),431,442
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJodaGetDay(),447,458
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkJISOGetDay(),460,471
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkGCalGetDay(),473,484
src/main/resources/Time/1/src/example/org/joda/example/time/DateTimePerformance.java,checkDateGetDay(),486,497
