File,Method,S-WordCount,S-LineCount,S-Density,S-ParaCount,S-FunCalls,S-VarCount,S-RepWords,S-ComPer,S-MaxDepth,S-BlockCount,S-CycCom
src/main/resources/Time/15/src/example/org/joda/example/time/Examples.java,main(String[]),9.0,5.0,1.8,1.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/Examples.java,run(),8.0,4.0,2.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/Examples.java,runInstant(),213.0,24.0,8.875,0.0,37.0,2.0,33.0,0.0,1.0,1.0,15.0
src/main/resources/Time/15/src/example/org/joda/example/time/Examples.java,runDateTime(),402.0,40.0,10.05,0.0,80.0,2.0,62.0,0.0,1.0,1.0,29.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,main(String[]),3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,fixedSize(JComponent),6.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,fixedHeight(JComponent),14.0,4.0,3.5,1.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,actionPerformed(ActionEvent),1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,AgeCalculator(),60.0,19.0,3.1578948,0.0,14.0,2.0,4.0,0.0,2.0,2.0,6.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,addMainArea(Container),36.0,8.0,4.5,1.0,10.0,1.0,9.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,insertUpdate(DocumentEvent),2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,removeUpdate(DocumentEvent),2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,changedUpdate(DocumentEvent),2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,update(DocumentEvent),4.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,actionPerformed(ActionEvent),12.0,3.0,4.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,addTopArea(Container),121.0,40.0,3.025,1.0,30.0,6.0,9.0,0.0,2.0,6.0,1.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,itemStateChanged(ItemEvent),1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,addBottomArea(Container),125.0,17.0,7.352941,1.0,9.0,3.0,20.0,0.0,3.0,4.0,4.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,updateResults(),43.0,12.0,3.5833333,0.0,5.0,5.0,8.0,0.0,3.0,5.0,4.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,FieldGroup(ItemListener|String|int),16.0,5.0,3.2,3.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0
src/main/resources/Time/15/src/example/org/joda/example/time/AgeCalculator.java,updateResult(long|long),95.0,40.0,2.375,2.0,15.0,3.0,12.0,0.09672831,2.0,3.0,11.0
