Project,Version,Exception
Chart, 1, junit.framework.AssertionFailedError
Chart, 2, java.lang.NullPointerException
Chart, 3, junit.framework.AssertionFailedError
Chart, 4, java.lang.NullPointerException
Chart, 5, java.lang.IndexOutOfBoundsException
Chart, 6, junit.framework.AssertionFailedError
Chart, 7, junit.framework.AssertionFailedError
Chart, 8, junit.framework.AssertionFailedError
Chart, 9, java.lang.IllegalArgumentException
Chart, 10, junit.framework.ComparisonFailure
Chart, 11, junit.framework.AssertionFailedError
Chart, 12, junit.framework.AssertionFailedError
Chart, 13, java.lang.IllegalArgumentException
Chart, 14, java.lang.NullPointerException
Chart, 15, junit.framework.AssertionFailedError
Chart, 16, java.lang.NullPointerException
Chart, 17, java.lang.IllegalArgumentException
Chart, 18, java.lang.IndexOutOfBoundsException
Chart, 19, junit.framework.AssertionFailedError
Chart, 20, junit.framework.AssertionFailedError
Chart, 21, junit.framework.AssertionFailedError
Chart, 22, org.jfree.data.UnknownKeyException
Chart, 23, junit.framework.AssertionFailedError
Chart, 24, java.lang.IllegalArgumentException
Chart, 25, junit.framework.AssertionFailedError
Chart, 26, junit.framework.AssertionFailedError
Closure, 1, junit.framework.AssertionFailedError
Closure, 2, java.lang.NullPointerException
Closure, 3, junit.framework.AssertionFailedError
Closure, 4, junit.framework.AssertionFailedError
Closure, 5, junit.framework.AssertionFailedError
Closure, 6, junit.framework.AssertionFailedError
Closure, 7, junit.framework.AssertionFailedError
Closure, 8, junit.framework.AssertionFailedError
Closure, 9, junit.framework.ComparisonFailure
Closure, 10, junit.framework.AssertionFailedError
Closure, 11, junit.framework.AssertionFailedError
Closure, 12, junit.framework.AssertionFailedError
Closure, 13, junit.framework.AssertionFailedError
Closure, 14, junit.framework.AssertionFailedError
Closure, 15, junit.framework.AssertionFailedError
Closure, 16, junit.framework.AssertionFailedError
Closure, 17, junit.framework.ComparisonFailure
Closure, 18, junit.framework.AssertionFailedError
Closure, 19, java.lang.IllegalArgumentException
Closure, 20, junit.framework.AssertionFailedError
Closure, 21, junit.framework.AssertionFailedError
Closure, 22, junit.framework.AssertionFailedError
Closure, 23, junit.framework.AssertionFailedError
Closure, 24, junit.framework.AssertionFailedError
Closure, 25, junit.framework.ComparisonFailure
Closure, 26, junit.framework.AssertionFailedError
Closure, 27, java.lang.IllegalStateException
Closure, 28, junit.framework.AssertionFailedError
Closure, 29, junit.framework.AssertionFailedError
Closure, 30, junit.framework.AssertionFailedError
Closure, 31, junit.framework.AssertionFailedError
Closure, 32, junit.framework.ComparisonFailure
Closure, 33, junit.framework.AssertionFailedError
Closure, 34, java.lang.StackOverflowError
Closure, 35, junit.framework.AssertionFailedError
Closure, 36, junit.framework.AssertionFailedError
Closure, 37, java.lang.RuntimeException
Closure, 38, junit.framework.ComparisonFailure
Closure, 39, junit.framework.ComparisonFailure
Closure, 40, java.lang.RuntimeException
Closure, 41, junit.framework.AssertionFailedError
Closure, 42, junit.framework.AssertionFailedError
Closure, 43, junit.framework.ComparisonFailure
Closure, 44, junit.framework.ComparisonFailure
Closure, 45, junit.framework.AssertionFailedError
Closure, 46, junit.framework.AssertionFailedError
Closure, 47, junit.framework.AssertionFailedError
Closure, 48, junit.framework.AssertionFailedError
Closure, 49, junit.framework.AssertionFailedError
Closure, 50, junit.framework.AssertionFailedError
Closure, 51, junit.framework.ComparisonFailure
Closure, 52, junit.framework.ComparisonFailure
Closure, 53, java.lang.RuntimeException
Closure, 54, junit.framework.ComparisonFailure
Closure, 55, java.lang.IllegalStateException
Closure, 56, junit.framework.ComparisonFailure
Closure, 57, junit.framework.AssertionFailedError
Closure, 58, java.lang.IllegalStateException
Closure, 59, junit.framework.AssertionFailedError
Closure, 60, junit.framework.AssertionFailedError
Closure, 61, junit.framework.AssertionFailedError
Closure, 62, junit.framework.ComparisonFailure
Closure, 63, junit.framework.ComparisonFailure
Closure, 64, junit.framework.AssertionFailedError
Closure, 65, junit.framework.ComparisonFailure
Closure, 66, junit.framework.AssertionFailedError
Closure, 67, junit.framework.AssertionFailedError
Closure, 68, junit.framework.AssertionFailedError
Closure, 69, junit.framework.AssertionFailedError
Closure, 70, junit.framework.AssertionFailedError
Closure, 71, junit.framework.AssertionFailedError
Closure, 72, junit.framework.AssertionFailedError
Closure, 73, junit.framework.ComparisonFailure
Closure, 74, junit.framework.AssertionFailedError
Closure, 75, junit.framework.AssertionFailedError
Closure, 76, junit.framework.AssertionFailedError
Closure, 77, junit.framework.ComparisonFailure
Closure, 78, junit.framework.AssertionFailedError
Closure, 79, java.lang.RuntimeException
Closure, 80, junit.framework.AssertionFailedError
Closure, 81, junit.framework.AssertionFailedError
Closure, 82, junit.framework.AssertionFailedError
Closure, 83, junit.framework.AssertionFailedError
Closure, 84, junit.framework.AssertionFailedError
Closure, 85, junit.framework.AssertionFailedError
Closure, 86, junit.framework.AssertionFailedError
Closure, 87, junit.framework.AssertionFailedError
Closure, 88, junit.framework.AssertionFailedError
Closure, 89, junit.framework.AssertionFailedError
Closure, 90, junit.framework.AssertionFailedError
Closure, 91, junit.framework.AssertionFailedError
Closure, 92, junit.framework.AssertionFailedError
Closure, 93, junit.framework.AssertionFailedError
Closure, 94, junit.framework.AssertionFailedError
Closure, 95, junit.framework.AssertionFailedError
Closure, 96, junit.framework.AssertionFailedError
Closure, 97, junit.framework.AssertionFailedError
Closure, 98, junit.framework.AssertionFailedError
Closure, 99, junit.framework.AssertionFailedError
Closure, 100, junit.framework.AssertionFailedError
Closure, 101, junit.framework.AssertionFailedError
Closure, 102, junit.framework.AssertionFailedError
Closure, 103, junit.framework.AssertionFailedError
Closure, 104, junit.framework.AssertionFailedError
Closure, 105, junit.framework.AssertionFailedError
Closure, 106, junit.framework.AssertionFailedError
Closure, 107, junit.framework.AssertionFailedError
Closure, 108, java.lang.IllegalStateException
Closure, 109, junit.framework.AssertionFailedError
Closure, 110, junit.framework.AssertionFailedError
Closure, 111, junit.framework.AssertionFailedError
Closure, 112, junit.framework.AssertionFailedError
Closure, 113, junit.framework.AssertionFailedError
Closure, 114, junit.framework.AssertionFailedError
Closure, 115, junit.framework.AssertionFailedError
Closure, 116, junit.framework.AssertionFailedError
Closure, 117, junit.framework.ComparisonFailure
Closure, 118, junit.framework.ComparisonFailure
Closure, 119, junit.framework.AssertionFailedError
Closure, 120, junit.framework.AssertionFailedError
Closure, 121, junit.framework.AssertionFailedError
Closure, 122, junit.framework.AssertionFailedError
Closure, 123, junit.framework.ComparisonFailure
Closure, 124, junit.framework.AssertionFailedError
Closure, 125, java.lang.IllegalStateException
Closure, 126, junit.framework.AssertionFailedError
Closure, 127, junit.framework.AssertionFailedError
Closure, 128, junit.framework.ComparisonFailure
Closure, 129, junit.framework.AssertionFailedError
Closure, 130, junit.framework.AssertionFailedError
Closure, 131, junit.framework.AssertionFailedError
Closure, 132, junit.framework.AssertionFailedError
Closure, 133, java.lang.IllegalStateException
Lang, 1, java.lang.NumberFormatException
Lang, 2, junit.framework.AssertionFailedError
Lang, 3, junit.framework.AssertionFailedError
Lang, 4, junit.framework.AssertionFailedError
Lang, 5, java.lang.IllegalArgumentException
Lang, 6, java.lang.StringIndexOutOfBoundsException
Lang, 7, junit.framework.AssertionFailedError
Lang, 8, junit.framework.AssertionFailedError
Lang, 9, junit.framework.AssertionFailedError
Lang, 10, junit.framework.AssertionFailedError
Lang, 11, junit.framework.AssertionFailedError
Lang, 12, java.lang.ArrayIndexOutOfBoundsException
Lang, 13, org.apache.commons.lang3.SerializationException
Lang, 14, junit.framework.AssertionFailedError
Lang, 15, junit.framework.AssertionFailedError
Lang, 16, java.lang.NumberFormatException
Lang, 17, junit.framework.ComparisonFailure
Lang, 18, junit.framework.ComparisonFailure
Lang, 19, java.lang.StringIndexOutOfBoundsException
Lang, 20, java.lang.NullPointerException
Lang, 21, junit.framework.AssertionFailedError
Lang, 22, junit.framework.AssertionFailedError
Lang, 23, junit.framework.AssertionFailedError
Lang, 24, junit.framework.AssertionFailedError
Lang, 25, junit.framework.AssertionFailedError
Lang, 26, junit.framework.ComparisonFailure
Lang, 27, java.lang.StringIndexOutOfBoundsException
Lang, 28, junit.framework.ComparisonFailure
Lang, 29, junit.framework.AssertionFailedError
Lang, 30, junit.framework.AssertionFailedError
Lang, 31, junit.framework.AssertionFailedError
Lang, 32, junit.framework.AssertionFailedError
Lang, 33, java.lang.NullPointerException
Lang, 34, junit.framework.AssertionFailedError
Lang, 35, java.lang.ClassCastException
Lang, 36, java.lang.NumberFormatException
Lang, 37, java.lang.ArrayStoreException
Lang, 38, junit.framework.ComparisonFailure
Lang, 39, java.lang.NullPointerException
Lang, 40, junit.framework.AssertionFailedError
Lang, 41, junit.framework.ComparisonFailure
Lang, 42, junit.framework.ComparisonFailure
Lang, 43, java.lang.OutOfMemoryError
Lang, 44, java.lang.StringIndexOutOfBoundsException
Lang, 45, java.lang.StringIndexOutOfBoundsException
Lang, 46, junit.framework.ComparisonFailure
Lang, 47, java.lang.NullPointerException
Lang, 48, junit.framework.AssertionFailedError
Lang, 49, junit.framework.AssertionFailedError
Lang, 50, junit.framework.AssertionFailedError
Lang, 51, java.lang.StringIndexOutOfBoundsException
Lang, 52, junit.framework.ComparisonFailure
Lang, 53, junit.framework.AssertionFailedError
Lang, 54, java.lang.IllegalArgumentException
Lang, 55, junit.framework.AssertionFailedError
Lang, 56, org.apache.commons.lang.SerializationException
Lang, 57, java.lang.NullPointerException
Lang, 58, java.lang.NumberFormatException
Lang, 59, java.lang.ArrayIndexOutOfBoundsException
Lang, 60, junit.framework.AssertionFailedError
Lang, 61, junit.framework.AssertionFailedError
Lang, 62, junit.framework.ComparisonFailure
Lang, 63, junit.framework.ComparisonFailure
Lang, 64, junit.framework.AssertionFailedError
Lang, 65, junit.framework.AssertionFailedError
Math, 1, org.apache.commons.math3.fraction.FractionConversionException
Math, 2, junit.framework.AssertionFailedError
Math, 3, java.lang.ArrayIndexOutOfBoundsException
Math, 4, java.lang.NullPointerException
Math, 5, junit.framework.AssertionFailedError
Math, 6, junit.framework.AssertionFailedError
Math, 7, junit.framework.AssertionFailedError
Math, 8, java.lang.ArrayStoreException
Math, 9, junit.framework.AssertionFailedError
Math, 10, junit.framework.AssertionFailedError
Math, 11, junit.framework.AssertionFailedError
Math, 12, junit.framework.AssertionFailedError
Math, 13, java.lang.OutOfMemoryError
Math, 14, java.lang.OutOfMemoryError
Math, 15, junit.framework.AssertionFailedError
Math, 16, junit.framework.AssertionFailedError
Math, 17, junit.framework.AssertionFailedError
Math, 18, junit.framework.AssertionFailedError
Math, 19, java.lang.Exception
Math, 20, junit.framework.AssertionFailedError
Math, 21, junit.framework.AssertionFailedError
Math, 22, junit.framework.AssertionFailedError
Math, 23, junit.framework.AssertionFailedError
Math, 24, junit.framework.AssertionFailedError
Math, 25, junit.framework.AssertionFailedError
Math, 26, junit.framework.AssertionFailedError
Math, 27, junit.framework.AssertionFailedError
Math, 28, org.apache.commons.math3.exception.MaxCountExceededException
Math, 29, junit.framework.AssertionFailedError
Math, 30, junit.framework.AssertionFailedError
Math, 31, org.apache.commons.math3.exception.ConvergenceException
Math, 32, java.lang.ClassCastException
Math, 33, junit.framework.AssertionFailedError
Math, 34, junit.framework.AssertionFailedError
Math, 35, junit.framework.AssertionFailedError
Math, 36, junit.framework.AssertionFailedError
Math, 37, junit.framework.AssertionFailedError
Math, 38, org.apache.commons.math.optimization.direct.BOBYQAOptimizer$PathIsExploredException
Math, 39, junit.framework.AssertionFailedError
Math, 40, org.apache.commons.math.exception.TooManyEvaluationsException
Math, 41, junit.framework.AssertionFailedError
Math, 42, junit.framework.AssertionFailedError
Math, 43, junit.framework.AssertionFailedError
Math, 44, junit.framework.AssertionFailedError
Math, 45, junit.framework.AssertionFailedError
Math, 46, junit.framework.AssertionFailedError
Math, 47, junit.framework.AssertionFailedError
Math, 48, java.lang.Exception
Math, 49, org.apache.commons.math.MathRuntimeException$6
Math, 50, junit.framework.AssertionFailedError
Math, 51, org.apache.commons.math.exception.TooManyEvaluationsException
Math, 52, junit.framework.AssertionFailedError
Math, 53, junit.framework.AssertionFailedError
Math, 54, junit.framework.AssertionFailedError
Math, 55, junit.framework.AssertionFailedError
Math, 56, junit.framework.AssertionFailedError
Math, 57, junit.framework.AssertionFailedError
Math, 58, org.apache.commons.math.exception.NotStrictlyPositiveException
Math, 59, junit.framework.AssertionFailedError
Math, 60, org.apache.commons.math.ConvergenceException
Math, 61, org.apache.commons.math.MathRuntimeException$4
Math, 62, junit.framework.AssertionFailedError
Math, 63, junit.framework.AssertionFailedError
Math, 64, junit.framework.AssertionFailedError
Math, 65, junit.framework.AssertionFailedError
Math, 66, junit.framework.AssertionFailedError
Math, 67, junit.framework.AssertionFailedError
Math, 68, junit.framework.AssertionFailedError
Math, 69, junit.framework.AssertionFailedError
Math, 70, java.lang.NullPointerException
Math, 71, junit.framework.AssertionFailedError
Math, 72, junit.framework.AssertionFailedError
Math, 73, junit.framework.AssertionFailedError
Math, 74, junit.framework.AssertionFailedError
Math, 75, junit.framework.AssertionFailedError
Math, 76, junit.framework.AssertionFailedError
Math, 77, junit.framework.AssertionFailedError
Math, 78, org.apache.commons.math.MathRuntimeException$4
Math, 79, java.lang.NullPointerException
Math, 80, junit.framework.AssertionFailedError
Math, 81, java.lang.ArrayIndexOutOfBoundsException
Math, 82, junit.framework.AssertionFailedError
Math, 83, junit.framework.AssertionFailedError
Math, 84, junit.framework.AssertionFailedError
Math, 85, org.apache.commons.math.MathException
Math, 86, junit.framework.AssertionFailedError
Math, 87, junit.framework.AssertionFailedError
Math, 88, junit.framework.AssertionFailedError
Math, 89, java.lang.ClassCastException
Math, 90, java.lang.IllegalArgumentException
Math, 91, junit.framework.AssertionFailedError
Math, 92, junit.framework.AssertionFailedError
Math, 93, junit.framework.AssertionFailedError
Math, 94, junit.framework.AssertionFailedError
Math, 95, java.lang.IllegalArgumentException
Math, 96, junit.framework.AssertionFailedError
Math, 97, java.lang.IllegalArgumentException
Math, 98, java.lang.ArrayIndexOutOfBoundsException
Math, 99, junit.framework.AssertionFailedError
Math, 100, java.lang.ArrayIndexOutOfBoundsException
Math, 101, java.lang.StringIndexOutOfBoundsException
Math, 102, junit.framework.AssertionFailedError
Math, 103, org.apache.commons.math.MaxIterationsExceededException
Math, 104, junit.framework.AssertionFailedError
Math, 105, junit.framework.AssertionFailedError
Math, 106, junit.framework.AssertionFailedError
Mockito, 1, java.lang.UnsupportedOperationException
Mockito, 2, junit.framework.AssertionFailedError
Mockito, 3, junit.framework.AssertionFailedError
Mockito, 4, java.lang.Exception
Mockito, 5, junit.framework.AssertionFailedError
Mockito, 6, junit.framework.ComparisonFailure
Mockito, 7, org.mockito.exceptions.base.MockitoException
Mockito, 8, java.lang.StackOverflowError
Mockito, 9, org.mockito.exceptions.base.MockitoException
Mockito, 10, org.mockito.exceptions.base.MockitoException
Mockito, 11, junit.framework.AssertionFailedError
Mockito, 12, java.lang.ClassCastException
Mockito, 13, junit.framework.AssertionFailedError
Mockito, 14, junit.framework.AssertionFailedError
Mockito, 15, junit.framework.AssertionFailedError
Mockito, 16, org.mockito.exceptions.misusing.MissingMethodInvocationException
Mockito, 17, java.io.NotSerializableException
Mockito, 18, java.lang.NullPointerException
Mockito, 19, junit.framework.AssertionFailedError
Mockito, 20, junit.framework.ComparisonFailure
Mockito, 21, org.mockito.internal.creation.instance.InstantationException
Mockito, 22, java.lang.RuntimeException
Mockito, 23, java.io.NotSerializableException
Mockito, 24, junit.framework.AssertionFailedError
Mockito, 25, java.lang.ClassCastException
Mockito, 26, java.lang.ClassCastException
Mockito, 27, junit.framework.AssertionFailedError
Mockito, 28, junit.framework.AssertionFailedError
Mockito, 29, java.lang.Exception
Mockito, 30, junit.framework.AssertionFailedError
Mockito, 31, junit.framework.ComparisonFailure
Mockito, 32, junit.framework.AssertionFailedError
Mockito, 33, junit.framework.AssertionFailedError
Mockito, 34, java.lang.ArrayIndexOutOfBoundsException
Mockito, 35, java.lang.NullPointerException
Mockito, 36, java.lang.NullPointerException
Mockito, 37, junit.framework.AssertionFailedError
Mockito, 38, java.lang.NullPointerException
Time, 1, junit.framework.AssertionFailedError
Time, 2, java.lang.IllegalArgumentException
Time, 3, junit.framework.ComparisonFailure
Time, 4, junit.framework.AssertionFailedError
Time, 5, java.lang.UnsupportedOperationException
Time, 6, junit.framework.AssertionFailedError
Time, 7, org.joda.time.IllegalFieldValueException
Time, 8, java.lang.IllegalArgumentException
Time, 9, junit.framework.AssertionFailedError
Time, 10, org.joda.time.IllegalFieldValueException
Time, 11, junit.framework.AssertionFailedError
Time, 12, junit.framework.AssertionFailedError
Time, 13, junit.framework.ComparisonFailure
Time, 14, org.joda.time.IllegalFieldValueException
Time, 15, junit.framework.AssertionFailedError
Time, 16, junit.framework.AssertionFailedError
Time, 17, junit.framework.AssertionFailedError
Time, 18, org.joda.time.IllegalFieldValueException
Time, 19, junit.framework.ComparisonFailure
Time, 20, java.lang.IllegalArgumentException
Time, 21, junit.framework.ComparisonFailure
Time, 22, junit.framework.AssertionFailedError
Time, 23, junit.framework.ComparisonFailure
Time, 24, junit.framework.AssertionFailedError
Time, 25, junit.framework.ComparisonFailure
Time, 26, junit.framework.ComparisonFailure
Time, 27, java.lang.IllegalArgumentException
